Date,Close,High,Low,Open,Volume,Previous Close
2020-01-02,689.5643310546875,692.101988476081,679.0993724418228,679.0993724418228,17710316.0,678.0213623046875
2020-01-03,690.395263671875,692.4163951283864,684.0399067715819,688.5312966830404,20984698.0,689.5643310546875
2020-01-06,674.38330078125,686.2405509723116,672.8112966394237,682.6923884349243,24519177.0,690.395263671875
2020-01-07,684.7584838867188,689.2049605395949,679.7729949399003,682.2432530844378,16683622.0,674.38330078125
2020-01-08,679.6158447265625,689.182488645687,678.2010648478615,680.4467595684358,16047902.0,684.7584838867188
2020-01-09,695.2683715820312,696.1666254885539,687.7452852424955,691.0464582942841,14982742.0,679.6158447265625
2020-01-10,695.1111450195312,699.7372725509242,691.5180094774487,697.0199645467686,12478359.0,695.2683715820312
2020-01-13,693.3370971679688,700.0741816631064,690.9566642441663,693.9434485641472,18282382.0,695.1111450195312
2020-01-14,686.9144897460938,696.1667464450045,683.523490714479,691.6753562049378,15816535.0,693.3370971679688
2020-01-15,684.421630859375,691.6303283842706,681.9064599391988,689.811334228506,15817859.0,686.9144897460938
2020-01-16,690.7320556640625,693.1798876683814,686.2855786022757,686.7347655491267,12847975.0,684.421630859375
2020-01-17,710.0900268554688,711.864108417727,697.6039369634283,697.7386750581485,29463471.0,690.7320556640625
2020-01-20,688.2393798828125,722.6659529995442,685.5669843520598,722.6659529995442,32545850.0,710.0900268554688
2020-01-21,688.935546875,694.3027642276626,683.5907558897001,686.5551139029081,18922720.0,688.2393798828125
2020-01-22,688.6885375976562,694.7070194113962,687.6779718452132,693.4718901543605,10322817.0,688.935546875
2020-01-23,685.76904296875,692.5510396190912,683.0068223564003,690.1032078631521,11247739.0,688.6885375976562
2020-01-24,683.3886108398438,690.0358694147471,682.0411700619208,685.8363826344054,14628445.0,685.76904296875
2020-01-27,676.6515502929688,684.6911633302749,675.9553734713157,680.4019105973154,13387750.0,683.3886108398438
2020-01-28,661.021484375,678.2011008688595,657.3610095813076,677.5722631399472,24532236.0,676.6515502929688
2020-01-29,664.6594848632812,671.194431790855,657.5630393118081,662.0544286675653,24746565.0,661.021484375
2020-01-30,648.445556640625,664.5921208129523,646.7613005344713,664.2777319364013,22402689.0,664.6594848632812
2020-01-31,634.0282592773438,652.7124836438774,632.0296139856943,652.6001719031177,34750310.0,648.445556640625
2020-02-03,622.2831420898438,628.7732364278764,612.1999721671589,615.2765817380496,30712290.0,634.0282592773438
2020-02-04,640.6530151367188,643.392749686745,627.8076236876792,628.7957030467365,25383901.0,622.2831420898438
2020-02-05,650.5789794921875,652.5102855297779,642.4046883114135,644.4706724836421,18472100.0,640.6530151367188
2020-02-06,654.7559814453125,658.8880697230694,646.8062537495949,653.0942115651576,15538577.0,650.5789794921875
2020-02-07,643.9093627929688,652.3082783351983,641.5064431721889,651.7019268465319,12209212.0,654.7559814453125
2020-02-10,644.7850952148438,649.2315722019952,633.489221974886,641.3716102719476,15142476.0,643.9093627929688
2020-02-11,652.4878540039062,658.5287619338282,649.0294562506307,650.0849346598748,13999816.0,644.7850952148438
2020-02-12,660.3702392578125,662.4138569993008,653.4984164481951,654.0149424663631,13533565.0,652.4878540039062
2020-02-13,662.0994262695312,663.7163434347497,656.9118595053045,663.7163434347497,13565659.0,660.3702392578125
2020-02-14,668.140380859375,674.360939599548,652.6450199466582,663.491766589205,21227841.0,662.0994262695312
2020-02-17,663.9409790039062,676.4719834583392,662.1668971777299,668.7692446918574,13149130.0,668.140380859375
2020-02-18,659.0676879882812,662.8853871813449,654.5762983365174,662.8853871813449,11127161.0,663.9409790039062
2020-02-19,675.4163818359375,676.6065982812527,662.5260780910154,664.4348976841294,14084409.0,659.0676879882812
2020-02-20,667.3992919921875,677.3028119988342,666.433638977898,672.3622951611951,16892268.0,675.4163818359375
2020-02-24,648.9844970703125,663.3794058451195,646.5591515322425,660.123145452523,21370214.0,667.3992919921875
2020-02-25,636.1616821289062,651.8815476242935,633.287149264562,651.8815476242935,27745062.0,648.9844970703125
2020-02-26,625.2025756835938,634.3425797138669,623.1141052102467,633.2871013116201,29362748.0,636.1616821289062
2020-02-27,622.6200561523438,626.01105480176,614.8723458997378,623.4059983867498,25054993.0,625.2025756835938
2020-02-28,596.7496337890625,609.482774974544,595.1102901320943,608.5395482389607,39315769.0,622.6200561523438
